session_id,utterance_id,role,content,timestamp
njvdgpr,0,student,Hello?,00:00:00
njvdgpr,1,background,[unclear],00:00:00
njvdgpr,2,tutor,Can you say yes? We can all hear you.,00:00:00
njvdgpr,3,student,"Okay, yeah, I can hear you.",00:00:02
njvdgpr,4,tutor,We can all hear you.,00:00:04
njvdgpr,5,student,Hello? [Speaker:TUTOR]... [UNCLEAR],00:00:06
njvdgpr,6,student,"Hi. Bye. Can you hear me, Callum? Oh yeah, I can hear you. Can you hear me?",00:00:08
njvdgpr,7,tutor,"Yes, I can hear you. How have you been today?",00:00:21
njvdgpr,8,student,"Oh good, how have you been today?",00:00:25
njvdgpr,9,tutor,"Okay, I'm doing okay today. A bit tired today, but doing all right. All right, so how was your day so far at school?",00:00:28
njvdgpr,10,student,It's been good. We've done some cross-country training and we've We've also been working on like writings that we're going to do in English.,00:00:39
njvdgpr,11,tutor,"Oh, alright, that's really interesting to hear. So do you have any special plans for holidays?",00:00:53
njvdgpr,12,student,"Hmm, well, I'm probably just going to be sitting around waiting for Christmas, chugging Pepsi. [unclear]",00:01:02
njvdgpr,13,student,"Well, usually on the holidays I just sit around at home, just game or watch TV, so.",00:01:12
njvdgpr,14,tutor,"Okay, alright, that's really nice to hear and thank you so much for sharing those with me. Welcome back to another session at TutorSpace. So let's get started with our [UNCLEAR]. [unclear]",00:01:24
njvdgpr,15,student,"Oh yes, yes we have.",00:01:45
njvdgpr,16,tutor,"Alright, that's really great to hear. So can you tell me, Callum, what do you know on common multiples?",00:01:47
njvdgpr,17,student,"Common multiples are basically two numbers that have the same multiples, such as 1 times 6 equals 6, 2 times 3 equals 6. That is Those are common multiples.",00:01:55
njvdgpr,18,tutor,"All right, that was a wonderful explanation, Callum. Shall we try the learning goal question? [unclear]",00:02:15
njvdgpr,19,student,"And the first 5 multiples of 6 is 12, 18, 24, 30, and 36. [unclear]",00:02:36
njvdgpr,20,tutor,"All right, the first 5 multiples of 6. You can start with x as well, okay?",00:02:56
njvdgpr,21,tutor,"That's okay, that was a really good working out. So I'm going to write it again. All right. [unclear]",00:03:02
njvdgpr,22,student,24.,00:03:12
njvdgpr,23,tutor,"That's it, done. Good job. All good, Callum. Then let's go ahead. So let's keep this slide as you have a good understanding on multiplication. So can you read this box and give a try?",00:03:16
njvdgpr,24,student,"Alright, a multiple is the result of multiplying a number by another number. A common multiple is any multiple that is shared by two or more numbers. Okay, so 1 times 2 is 2, 3 times 3 is 9. Okay, so 4 times 2 is 8, 4 times 3 is 12. 5 times 2 is 10. 5 times 3 is 15. Then 6 times 2 is 12. [unclear]",00:03:29
njvdgpr,25,tutor,"All right, exactly. So they're asking you a question here, okay? So circle the multiples that are in both the tables. Can you circle them?",00:04:13
njvdgpr,26,student,"Okay, so first we have 6 and 6, and then 12 and 12. [unclear]",00:04:22
njvdgpr,27,tutor,So what are the common multiples of 2 and 3?,00:04:37
njvdgpr,28,student,6 and 12.,00:04:42
njvdgpr,29,tutor,So 6 and 12.,00:04:45
njvdgpr,30,tutor,6 and 12. Exactly. Good job. So can you think of any other common multiples of 2 and 3?,00:04:47
njvdgpr,31,student,"Uh, 24. So 8 times 3 is 24, and any even number is a multiple of 2. [unclear]",00:04:57
njvdgpr,32,tutor,Yes. All good.,00:05:11
njvdgpr,33,tutor,"Alright, let's go ahead and move on to this row. Alright, let me take you through the [UNCLEAR]. Let's use keep counting to find the first 2 common multiples of 4 and 6. We are going to use keep counting. Multiples of 4. Alright, so 4, 8, and 8 plus 4 gives me about 16.",00:05:13
njvdgpr,34,student,"16, 20, 24, 28.",00:05:41
njvdgpr,35,tutor,"And the multiples of 6, starting with 6, it should give me 12 and 18, 24, 30, and 36. Okay, so the 2 common multiples. So the number— okay, let's order them by [UNCLEAR]. [unclear]",00:05:47
njvdgpr,36,tutor,"Alright, so the number, the common multiple to find will be 12... [unclear] 24, yes. [unclear] Shall we try your turn now?",00:06:09
njvdgpr,37,student,"So we have... 2, 4, 6, 8, 10, and then 12, 14, 16, 18, and 20.",00:06:31
njvdgpr,38,tutor,Mm-hmm.,00:06:57
njvdgpr,39,student,"So the multiples of 5 are 5, 10, 15, 20, 25. So then, so then the common multiples— 20 and 20.",00:06:58
njvdgpr,40,tutor,Mm-hmm.,00:07:22
njvdgpr,41,student,But then there is also— [unclear] So 20— [unclear],00:07:23
njvdgpr,42,student,10. 20 and 10.,00:07:36
njvdgpr,43,tutor,"Exactly. All right, that was a good job again. Give me a second. All right. Yes, Callum, you're perfectly correct. So to get a good practice with these type of questions, let's give a try.",00:07:39
njvdgpr,44,tutor,"Alright, so which number below is a common multiple of 2 and 7?",00:07:59
njvdgpr,45,student,"Okay, so that would be 14.",00:08:07
njvdgpr,46,tutor,Which number below is a multiple of 3 and 4?,00:08:12
njvdgpr,47,student,12.,00:08:17
njvdgpr,48,tutor,And then... [unclear],00:08:19
njvdgpr,49,student,"Okay, so write one common multiple of 2 and 5 that is less than 15. That is 10. Well, one of them is 10. Write one common multiple of 4 and 6 that is less than 40, that being 24. Well, one of them.",00:08:23
njvdgpr,50,tutor,"All right, yes, you're perfectly correct. Yes, how did you figure out these two answers, Callum, that 14 and 12 are not common multiples? I mean, they are common multiples. How did you figure out?",00:08:43
njvdgpr,51,student,"So just to make it easy, I would check through all of the numbers, then I would times them together, 2 and 7, and that makes 14. Then 3 and 4, that makes 12.",00:08:59
njvdgpr,52,tutor,"All right, yes, Callum, you're perfectly correct.",00:09:17
njvdgpr,53,tutor,"Alright then, good to go? Alright, so you have been provided with a different type of question here using a Venn diagram. Have you worked with Venn diagrams before?",00:09:21
njvdgpr,54,student,Yes.,00:09:32
njvdgpr,55,tutor,"Yes, alright then, shall we try this question?",00:09:34
njvdgpr,56,background,Alright.,00:09:37
njvdgpr,57,student,Okay. So which number is in the wrong position in [UNCLEAR]? On the Venn diagram.,00:09:38
njvdgpr,58,student,"So, um, 55 times 10, 15. Okay, so it's 15 because 5 times 5, 5 times 3, equals 15. So then 15 should be here.",00:09:50
njvdgpr,59,tutor,"Yes, so why do you think 15 would go in the middle of the wind diagram?",00:10:23
njvdgpr,60,student,"Well, the reason why it would go in the middle is because it is a multiple of both.",00:10:29
njvdgpr,61,tutor,"Yes, exactly, Callum. All good. So with that, we have completed this lesson. So you did a wonderful job here, Callum. So yes. So do you have anything that you would like to go clear over here, or is that— is all the parts clear?",00:10:36
njvdgpr,62,student,I think that's all of it clear.,00:10:53
njvdgpr,63,tutor,"All right. That's really great to hear. Then good to go, Callum. Let me load your next lesson. Give me a second. [unclear] [unclear]",00:10:56
njvdgpr,64,tutor,"Oh, give me a second. [Speaker:Callum]...times by 2. [unclear]",00:11:17
njvdgpr,65,tutor,"All right, our next lesson is on finding percentages of amounts. [unclear]",00:11:46
njvdgpr,66,tutor,"So, all right, have you done this topic as well before?",00:11:57
njvdgpr,67,tutor,"Yes, they have.",00:12:07
njvdgpr,68,background,All right. Shall we try these two questions?,00:12:09
njvdgpr,69,tutor,Mm-hmm.,00:12:13
njvdgpr,70,background,All right. So 70 and then that's 15.,00:12:13
njvdgpr,71,tutor,"Oh, wait. Hang on. Sorry.",00:12:22
njvdgpr,72,background,Plus 26.,00:12:25
njvdgpr,73,tutor,I— [unclear],00:12:29
njvdgpr,74,background,"So, okay.",00:12:31
njvdgpr,75,student,"Then 4 divided by 60 is 15. Sorry, it accidentally logged me out of that space, but now I'm back.",00:12:34
njvdgpr,76,tutor,"Oh, okay, that's all right. Try it again. [unclear] All right, that's great. Good to go then. Let's keep this slide and go ahead directly with the Let's Learn slide. So let me read the green box you this time. So when calculating simple percentages of amounts, we can use fraction equivalent. All right, so have you heard, uh, those words out? What is fraction equivalent? [unclear]",00:12:46
njvdgpr,77,student,"So isn't it when it has, um, so it has like a different denominator but it has, but has the same amount?",00:13:20
njvdgpr,78,student,Like—,00:13:31
njvdgpr,79,tutor,"Exactly. Simply, um, you have different— the fraction is divided into different parts, but they are equal to each other. Yeah, yeah. All right then. All right, so 50% is equal to 1/2. So to find 50% of an amount, we divide it by 2. Do you agree with that?",00:13:32
njvdgpr,80,student,Yes.,00:13:58
njvdgpr,81,tutor,"Yes, all right. All right, so 50% of 10 is half of 10, that is 2. All right, now give a try for these 3 questions.",00:13:58
njvdgpr,82,background,"All right, so 25% is equal to 1/4. To find 25% of an amount, divide by 4. 10%... 10%... Is equal to [unclear]",00:14:08
njvdgpr,83,tutor,"One tenth. To find 10%, divide by 10. 1% is equal to 100. To find 1%, divide by 100. [unclear]",00:14:30
njvdgpr,84,tutor,"All right, 25% is equal to 1/4, so we divide by 4. Yes, you're perfectly correct, Callum. All right, so you have to remember this so that it will help you to solve the next few questions, okay?",00:14:52
njvdgpr,85,student,Yeah.,00:15:08
njvdgpr,86,tutor,"All right, so let me take you through the follow-me part quickly.",00:15:10
njvdgpr,87,tutor,"Alright, 100% is 320. So if 100% is 320, 50% will be half of 320. So we divide that by 2. 320 divided by 2 would give me 160. And to find the 25%, we have to divide the whole by 4, Callum. So 320 divided by 4 would give us 80. And to find 10%, we divide it by 10. So 320 divided by 10 would give us 32. Then to find the 1%, we divide it by 100, and 320 divided by 100 would give us 3.2. Is that clear for you?",00:15:14
njvdgpr,88,student,Yep. [unclear],00:15:57
njvdgpr,89,tutor,"All right, so, all right, let me try it. [unclear]",00:15:58
njvdgpr,90,student,So 50% of 480 is 240. 25%,00:16:04
njvdgpr,91,tutor,"25% of 280 is— so you would just have to halve 240, halve 24, that's 12, so that would be 120. But it's— yes, 120, sorry. [unclear] Okay, 10% of 480 is 48, and then 1% of 480 is 4.2. [unclear]",00:16:12
njvdgpr,92,tutor,"All right, let me check. Yes, they are perfectly correct. All good, Callum. There we go with the tips. So shall we try these questions out?",00:16:48
njvdgpr,93,student,So 25% of a whole is the same as one quarter of a whole. So complete the,00:17:06
njvdgpr,94,background,"100, 240. [unclear]",00:17:21
njvdgpr,95,tutor,So that would be 120. Next one would be 60. 10% would be 24. And 1% would be 2.4. [unclear],00:17:23
njvdgpr,96,tutor,"All right, yes, that's perfectly correct. All right, so did you find anything challenging so far?",00:17:47
njvdgpr,97,student,"No, not so sure.",00:17:57
njvdgpr,98,tutor,"All right, that's great, then let us go ahead [unclear]",00:17:59
njvdgpr,99,tutor,"Alright, so it says to find 10% of a number, I divide by 10. So to find 50% of a number, I divide by 50. Do you agree? No. Explain your thinking.",00:18:03
njvdgpr,100,student,"No, because 50— so to find 10%, you actually— yes, you do have to divide by 10,",00:18:19
njvdgpr,101,student,"But it doesn't have to go by all of the rules. Like, if you had to divide by 1, you wouldn't divide by 1 because that would just be the same. But so then dividing by 50 though, you half the number. As 100% is the full potential of a number, 50% is half of it since 50 is half of 100. [unclear] [unclear]",00:18:31
njvdgpr,102,tutor,"Yes, exactly. That was a wonderful explanation, Callum. So with that, we have completed the lesson finding percentages of amounts as well. All good then, Callum? So that now we can go ahead, shall we? Are you ready? Shall we move on?",00:19:01
njvdgpr,103,student,Yes.,00:19:20
njvdgpr,104,tutor,All right.,00:19:23
njvdgpr,105,tutor,"All right, Callum, so give me a second. All right, the same lesson is loaded again. Let me load your next lesson. Give me a second. All right, so that's on rounding. Numbers with two decimal places. [unclear]",00:19:23
njvdgpr,106,tutor,"Alright, shut up. Do you have an idea on this?",00:19:56
njvdgpr,107,student,"Uh, yeah.",00:20:05
njvdgpr,108,tutor,"Oh, alright. So shall we try then?",00:20:06
njvdgpr,109,student,"Alright, so round 147 to the nearest hundred, that would be two—",00:20:10
njvdgpr,110,student,2.5. And then what is the value of the 5-digit in the number below? [unclear],00:20:22
njvdgpr,111,tutor,All right.,00:20:35
njvdgpr,112,background,"Okay, can you check your learning goal question again?",00:20:38
njvdgpr,113,tutor,Okay.,00:20:42
njvdgpr,114,tutor,"Oh yeah, sorry, I forgot to add the [UNCLEAR]. So then I would take that away. 2.14, sorry about that.",00:20:46
njvdgpr,115,tutor,"Uh-huh. I want you to check that again, Callum. So for example, if you're rounding 2.14 centimeters, hundredths.",00:21:12
njvdgpr,116,student,So I just keep on—,00:21:19
njvdgpr,117,tutor,It's 2.15. So what's confusing there?,00:21:20
njvdgpr,118,student,So I just kept on forgetting.,00:21:23
njvdgpr,119,tutor,"That's okay. That's all right. All right. That's okay, Callum. As you got the correct answer, so that was a very good effort. All right, Callum. So let's learn on that a bit more over here. Can you please read the green box?",00:21:26
njvdgpr,120,tutor,"Alright, before we round numbers to the nearest hundredth, we need to know what value of digits are after the decimal point. So, the position of the digit in the place value chart shows how much it is worth. What is the number shown— what number is shown in the place value chart?",00:21:40
njvdgpr,121,student,"So that would be 2.334... 1, 2, 3, 4, 5... 2.346. And then, okay, what digit is in the hundredths place?",00:22:07
njvdgpr,122,tutor,Hello.,00:22:29
njvdgpr,123,student,That would be 4. [unclear] The digit in the tenths,00:22:29
njvdgpr,124,student,The digit in the tenths place in the number 3.521 is?,00:22:35
njvdgpr,125,tutor,That would be 5.,00:22:43
njvdgpr,126,student,Yes.,00:22:47
njvdgpr,127,tutor,The digit in the hundredths place in the number 2.147 is 4. The digit in the thousandths place in 1.632 is? [unclear],00:22:49
njvdgpr,128,tutor,"Exactly, Callum, you are perfectly correct once again. All right, good to go, Callum. So let's give a try for the Let's Learn slide and learn on that a bit more. So let me read the green box for you here. All right, so when rounding a number to 2 decimal places, you're rounding to the nearest hundredth.",00:23:09
njvdgpr,129,tutor,All right.,00:23:29
njvdgpr,130,student,Okay.,00:23:31
njvdgpr,131,tutor,"So if you want to round 1.548 to 2 decimal places, we look at the digits in the thousands place to decide whether to round it up or down. So whenever we round the numbers, we look at the before column. Are you clear with that? [unclear] Yes. All right. So shall we try this? So 1.548 is between 1.54 and 1.54 1.55. Can you mark that number over here?",00:23:32
njvdgpr,132,student,"Uh, yeah. [unclear] What did you say again?",00:24:03
njvdgpr,133,tutor,Sorry?,00:24:07
njvdgpr,134,student,"Yeah, so you're going to mark 1.548 over here.",00:24:07
njvdgpr,135,tutor,"Oh, okay.",00:24:11
njvdgpr,136,student,This number.,00:24:12
njvdgpr,137,tutor,"1.548, that is here.",00:24:13
njvdgpr,138,student,Exactly.,00:24:21
njvdgpr,139,tutor,"All right, so we can see it is closer to Is it closer to 1.54 or 1.55?",00:24:23
njvdgpr,140,student,1.55. So we round to 1.55.,00:24:29
njvdgpr,141,tutor,"You have to write whether— in the second blank, you have to write after whether we are supposed to round it up or down.",00:24:37
njvdgpr,142,student,"Oh, sorry. [unclear]",00:24:43
njvdgpr,143,tutor,"All right. So we already know that if the digit in the thousands place is 5 or more, we round it up. 5 or less, we round it down. Yeah?",00:24:44
njvdgpr,144,student,Yep.,00:24:56
njvdgpr,145,tutor,"Alright, so what would 1.543 be rounded to nearest hundredth? [unclear] 1.543. Can you first mark that on the line?",00:24:56
njvdgpr,146,student,1.5... 1.54. There.,00:25:09
njvdgpr,147,tutor,Why do you think that would be the answer?,00:25:15
njvdgpr,148,student,"But it's because the numbers, numbers that are, that are 4 less one than.",00:25:19
njvdgpr,149,tutor,"Yes, so 1.543 is here and it's closer to a 1.54. Yeah, all good, go ahead. All right, all right, so we're on the follow me. Your turn. Let me quickly do the follow me part.",00:25:31
njvdgpr,150,tutor,"Rounding to 2 decimal places is an appropriate number of decimal places to round to when working with measures. All right, a jug contains 1.5 liters of water. An equal amount is poured into 4 glasses, so this works out as 0.375 liters in each glass. So when they have divided 1.5",00:25:46
njvdgpr,151,tutor,"By 4, you have got the answer 0.375. So we could round this amount to 2 decimal places. So 2 decimal places means you're rounding it to your nearest hundredths. I mean, so the nearest— the nearest hundredths. So you're going to look at the thousandths place. So thousandths place, you have 5. So we know that if it's 5 or greater than 5, we round that up. Yeah. [unclear] You have 5 here. So 0.375. 375 rounded it up. As you have a 5, you round it up, so you add a 1 to the before number. So 7 1 is 8, so you would get 0.378. Oh, you something. [unclear] It's 0.38. Is that clear for you? Mm-hmm.",00:26:11
njvdgpr,152,student,Or,00:26:57
njvdgpr,153,tutor,"do you want me to explain that to you again? Uh,",00:26:57
njvdgpr,154,student,"no, it makes sense. So,",00:27:00
njvdgpr,155,tutor,A car journey is 125 kilometres. The driver wants to break the journey into 3 equal sections. This works out at 41.666 kilometres. Round the distance to 2 decimal places. So that would be 41.667 kilometres.,00:27:04
njvdgpr,156,tutor,"Exactly, Callum. That was done well. So how did you decide you are supposed to round it down here?",00:27:31
njvdgpr,157,student,May you repeat? Sorry.,00:27:39
njvdgpr,158,tutor,"Yeah, so how did you decide that you need to round the number down here?",00:27:42
njvdgpr,159,student,"So it's— so to round it down, the number would need to be [UNCLEAR]. [Speaker:Callum]...4 or less, but to round it up it needs to be 5 or more. [Speaker:TUTOR] Yes, so which column do you look at when you round the number to nearest—",00:27:47
njvdgpr,160,student,Thousands. [unclear],00:28:04
njvdgpr,161,tutor,"The thousands, exactly. So what if you're supposed to round the number to nearest tenths? Which column do you look at?",00:28:06
njvdgpr,162,student,You look at the hundredths.,00:28:13
njvdgpr,163,tutor,"Exactly, the right before column. All good. So overall, that was a very good working out.",00:28:15
njvdgpr,164,tutor,So shall we try these questions one by one?,00:28:22
njvdgpr,165,student,"Okay. So mark the number 3.043 on the number line and round to the nearest hundredth. Okay, so that would be here. And then rounding it to the nearest hundredth, that would be [UNCLEAR].",00:28:25
njvdgpr,166,student,3.04... yeah.,00:28:54
njvdgpr,167,tutor,"Okay, so then round 5.589 to 2 decimal places. That would be 5.59. And then a pack of [unclear] costs A 24-pack of cola costs £8.50. This works out as approximately 354 pence per can. How much is each can of cola to the nearest penny?",00:28:57
njvdgpr,168,student,"Okay, so that would be [unclear] Wait, so... Penny's in Pence again. Sorry, I haven't gone over... Hang on, so... Which is this the nearest penny? Wouldn't this be... [unclear]",00:29:34
njvdgpr,169,tutor,"The nearest penny means, yeah, what do you think the answer could be? 0.35, I mean.",00:30:05
njvdgpr,170,tutor,"Exactly, Callum, you're a perfect character. Why do you think that could be taken as the answer?",00:30:17
njvdgpr,171,student,"Because since 4 less numbers run down, and that is 4, it runs down.",00:30:28
njvdgpr,172,student,"By the way, the reason why I was struggling is because I was just like thinking about how much a penny was again.",00:30:37
njvdgpr,173,tutor,"Oh, all right, Callum, that's okay. Anyways, you got the correct answer at the end. So when you write the answers in money, you have to write the symbol, pound symbol here, shall we write?",00:30:46
njvdgpr,174,student,"Oh, okay, yeah. [unclear]",00:30:55
njvdgpr,175,student,[unclear],00:31:04
njvdgpr,176,tutor,"Good job. Yes. Yeah, that is 0.35, yeah?",00:31:04
njvdgpr,177,student,"Oh, sorry.",00:31:12
njvdgpr,178,tutor,"All right. All right, with that, let's give a try for your last slide here.",00:31:14
njvdgpr,179,student,"All right. Tutor is thinking of a number. When she rounds the number to one decimal place, she gets 2.6.",00:31:21
njvdgpr,180,tutor,"When she rounds the number to 2 decimal places, she gets 2.55. What could her number be? Give 4 possible numbers.",00:31:28
njvdgpr,181,student,"Okay, so this could be 2. [unclear] 5, 4.",00:31:37
njvdgpr,182,tutor,"You have to write 4 different numbers, Callum. Not each numbers in each blank. You have to create 4-digit numbers, 4 different numbers. So if it's 2.554, it's one number.",00:32:00
njvdgpr,183,student,"Okay, so that could— so it could be 2.554",00:32:13
njvdgpr,184,student,"Then 2.553, 2.552, and then 1.551. Well, sorry. [unclear]",00:32:20
njvdgpr,185,tutor,"Exactly, Callum. There we go. So why did you decide these could be the answers? How did you identify that?",00:32:51
njvdgpr,186,student,"As previously stated, or should I say a lot, numbers less than 5 round down. Basically 4 and less.",00:32:59
njvdgpr,187,tutor,"Exactly, Callum. Right, so overall, that was a very good effort throughout this lesson as well. So with that, we have completed this lesson. So what do you think you did well throughout this lesson, Callum?",00:33:14
njvdgpr,188,student,"Oh, hmm, I would say, well, just rounding mostly. I find rounding really easy.",00:33:29
