session_id,utterance_id,role,content,timestamp
njxjidr,0,tutor,Hello.,00:00:00
njxjidr,1,student,Hello.,00:00:00
njxjidr,2,tutor,"Hi, Callum.",00:00:01
njxjidr,3,student,Can you hear me clearly?,00:00:05
njxjidr,4,tutor,Yeah.,00:00:07
njxjidr,5,student,"Okay, how are you?",00:00:08
njxjidr,6,tutor,I'm good.,00:00:09
njxjidr,7,student,Good.,00:00:10
njxjidr,8,tutor,Good. How was school today?,00:00:10
njxjidr,9,student,Good. [unclear],00:00:12
njxjidr,10,tutor,"Okay. So then let's get started with our topic, okay?",00:00:13
njxjidr,11,tutor,"Okay, so today we will continue using multiplication and division facts up to 12 times 2. So can you read the learning goal question and try it out?",00:00:20
njxjidr,12,student,It takes [unclear] minutes to walk to the park. It takes just 4 times as long Calculate how long it takes [unclear] to walk to the park.,00:00:37
njxjidr,13,tutor,"Wait, we're allowed to say [UNCLEAR]?",00:01:02
njxjidr,14,student,"No, you can't because you didn't listen to me.",00:01:06
njxjidr,15,tutor,How did you get 28?,00:01:10
njxjidr,16,student,I did 7 times 44. [unclear],00:01:12
njxjidr,17,tutor,"Okay, well done.",00:01:18
njxjidr,18,student,"Okay, so good job. You're working it out.",00:01:21
njxjidr,19,student,"I know, so telling me how you did.",00:01:27
njxjidr,20,student,"Okay, awesome. That's good, Callum.",00:01:30
njxjidr,21,student,"Okay, then let's start from here. So you have",00:01:34
njxjidr,22,tutor,Already done the first one. So no need to do it again. Cross that on [UNCLEAR]. Okay. Why is it 24?,00:01:41
njxjidr,23,student,It comes 24.,00:02:05
njxjidr,24,tutor,"Well, I can put it up there. I can put it up.",00:02:07
njxjidr,25,tutor,So how did you know that you're supposed to do 8 times 3 there? [unclear],00:02:10
njxjidr,26,tutor,"Okay, well done. Yes. Okay, can you also try C?",00:02:18
njxjidr,27,tutor,How— why is it 9? [unclear],00:02:39
njxjidr,28,student,Why did you divide? Now explain.,00:02:42
njxjidr,29,tutor,6 times 9 is 54.,00:02:56
njxjidr,30,tutor,"Okay, yes. Okay, so well done here finding out what to do and also working it out. Awesome effort once again. Okay, then let's try out this one. Can you read the question first?",00:03:02
njxjidr,31,student,Can you complete this multiplication with using multiplication and division facts?,00:03:19
njxjidr,32,student,Okay. Can you try it?,00:03:28
njxjidr,33,tutor,"So, Callum, how did you get 25? [unclear]",00:03:53
njxjidr,34,tutor,"How did you know that you have to do 5 times 5 for this one? Okay, that is times. How did you choose the numbers?",00:03:59
njxjidr,35,student,I know that 3 times 5 is 15.,00:04:20
njxjidr,36,tutor,Uh-huh. 3 times 5 is 15. Yes.,00:04:26
njxjidr,37,student,I know that 3 times 9— 3 times 8 equals 24.,00:04:29
njxjidr,38,tutor,Uh-huh. 3 times 8 equals 24. Yes.,00:04:40
njxjidr,39,tutor,Can you use the pointer tool like mine and show me what numbers you multiplied? [unclear],00:04:45
njxjidr,40,student,Okay. [unclear],00:04:52
njxjidr,41,tutor,How did you identify? [unclear] [unclear],00:04:59
njxjidr,42,tutor,Do you know how to do the multiplication grid before?,00:05:13
