session_id,utterance_id,role,content,timestamp
nnodmjh,0,background,[unclear],00:00:00
nnodmjh,1,student,Hello? Hello? Hello? Can you hear me?,00:00:00
nnodmjh,2,tutor,Bryony can hear you.,00:00:05
nnodmjh,3,tutor,"Great, how are you doing today?",00:00:08
nnodmjh,4,student,Good.,00:00:10
nnodmjh,5,tutor,"Good, how was school?",00:00:11
nnodmjh,6,student,Good.,00:00:13
nnodmjh,7,tutor,"Good, alright, okay, let me introduce myself first. My name is Gareth and I'll be your tutor for today. Alright?",00:00:14
nnodmjh,8,student,Mm-hmm.,00:00:22
nnodmjh,9,tutor,"Okay, tell me something about yourself.",00:00:24
nnodmjh,10,student,Um... [unclear],00:00:28
nnodmjh,11,student,My... what's it? I like... it depends. Sometimes I like math.,00:00:34
nnodmjh,12,tutor,Okay. All right.,00:00:44
nnodmjh,13,student,"It depends what subject it is, though, math.",00:00:46
nnodmjh,14,tutor,"Okay, all right, got it.",00:00:49
nnodmjh,15,student,And... [unclear] That's [unclear],00:00:51
nnodmjh,16,tutor,okay. What do you like to do during your free time? I,00:01:05
nnodmjh,17,student,like to play like— I like to go outside and I like to play on my tablet sometimes. Oh,00:01:10
nnodmjh,18,tutor,"right, okay. Nice to hear that. Okay, shall we get started?",00:01:21
nnodmjh,19,student,Yeah.,00:01:27
nnodmjh,20,tutor,Right. What's the lesson we're in? Can you read the topic for us?,00:01:28
nnodmjh,21,student,Using known facts to find factors.,00:01:32
nnodmjh,22,tutor,That's right. So this lesson is about factors. What do they mean by factors? [unclear],00:01:35
nnodmjh,23,student,"Like, like the 12 times tables, technically. Alright, okay. Numbers we can multiply together to get another number. So can you write all the factors of 12 here? [unclear]",00:01:45
nnodmjh,24,student,But is 12 one?,00:02:08
nnodmjh,25,tutor,It is. 12 is a factor of 12. Okay?,00:02:11
nnodmjh,26,background,Hello.,00:02:16
nnodmjh,27,tutor,Very good. [unclear] Amazing. That's right. Perfect. Good job in listing all the factors of 12. How many factors are there?,00:02:19
nnodmjh,28,student,"1, 2, 3, 4, 5, 6, 7.",00:02:35
nnodmjh,29,tutor,"1, 2, 3, 4, 5, 6. All right. So number 12 has a total of [unclear] factors.",00:02:40
nnodmjh,30,student,"1, 2, 3, 4, 5, 6. Oh, I think there's 7. Oh no, because that's 12, not—",00:02:49
nnodmjh,31,tutor,"That's right. That's a 12 and that's a 1. So we have 6 factors of 12, and good job in listing all of them out. Awesome. Yes, 6 factors. Perfect. Okay, let's try the You Do slide.",00:02:55
nnodmjh,32,tutor,Complete the factor pairs. Factors of 15.,00:03:13
nnodmjh,33,student,8.,00:03:19
nnodmjh,34,tutor,8.,00:03:20
nnodmjh,35,student,Yeah.,00:03:21
nnodmjh,36,tutor,1 times 15.,00:03:21
nnodmjh,37,tutor,Very good. [unclear],00:03:24
nnodmjh,38,tutor,Very good. Factors of 22.,00:03:28
nnodmjh,39,student,22.,00:03:33
nnodmjh,40,tutor,And by [UNCLEAR]. Awesome! Cut B— 2 times what gives us 22? Uh... flip maybe? Um... Think about it. You're timesing a number by 2. The answer is 22. [unclear],00:03:41
nnodmjh,41,tutor,There you go. That's amazing. That will be 11. Write all the factors of 25.,00:04:14
nnodmjh,42,student,"2, 5, 1,",00:04:25
nnodmjh,43,tutor,Very good. [Speaker:Briony]...and 5.,00:04:30
nnodmjh,44,tutor,"Amazing. That's right. 2, 25, 1, and 5. These are the only 3 factors of 25. Good work on the YouTube slide. Amazing. Here we go. [unclear] [Speaker:Briony]...hockey.",00:04:33
nnodmjh,45,tutor,Is that hockey or hockey?,00:04:49
nnodmjh,46,student,Hockey. Hockey says that 9 has 4 factors. 9 has 4,00:04:54
nnodmjh,47,background,"1, 3, 4, 9.",00:04:58
nnodmjh,48,student,His mistake is that he put 3 two times.,00:05:03
nnodmjh,49,tutor,"That's right. She's repeated. Yes. Very good. 3 has been repeated twice. Therefore, that's the mistake. Amazing. Alright, good job in working all these questions out. Only one [UNCLEAR]. I can see you have a great understanding about [UNCLEAR]. Do you have any questions before we move on?",00:05:08
nnodmjh,50,student,"Not right now, thanks.",00:05:36
nnodmjh,51,tutor,Alright.,00:05:38
nnodmjh,52,student,Okay.,00:05:38
nnodmjh,53,tutor,"There we go. Can you read the topic, please?",00:05:42
nnodmjh,54,student,Solving real-life problems with remainders.,00:05:45
nnodmjh,55,tutor,Alright. Real-life problems with remainders. Let's start off with the learning goal first.,00:05:49
nnodmjh,56,tutor,There are 27 books. The teacher puts 5 books on each table. How many is there left over? [unclear],00:05:57
nnodmjh,57,student,All right. Okay.,00:06:08
nnodmjh,58,tutor,Yeah.,00:06:20
nnodmjh,59,student,I like putting my [Speaker:Briony]...2.06.,00:06:21
nnodmjh,60,tutor,"Okay, that's good. [Speaker:Briony]...2.06.",00:06:24
nnodmjh,61,tutor,"Okay, awesome. Good job in giving this question a try. So 5 minus [UNCLEAR].",00:06:30
nnodmjh,62,student,7.,00:06:38
nnodmjh,63,tutor,"Okay, alright. Okay, so let's read this sentence again. The tutor puts 5 books on each table. [unclear]",00:06:40
nnodmjh,64,tutor,"There's a point. We have 25, 27 books.",00:06:53
nnodmjh,65,student,"Wait, wait.",00:06:57
nnodmjh,66,tutor,"5 books on each table. How many books are left over? That's the question. So if I reread that, I think you're getting what the question is. Teacher puts 5— there's 27 books. The teacher put 5 books on each table.",00:06:57
nnodmjh,67,tutor,How much?,00:07:17
nnodmjh,68,student,Oh! [unclear],00:07:22
nnodmjh,69,tutor,How many tables are there?,00:07:23
nnodmjh,70,student,"We didn't know, but the teacher only puts 5 books on each table, so the remaining books is with her.",00:07:28
nnodmjh,71,student,"Can you say that again, please? [Speaker:Tutor]...or in like decimal [UNCLEAR].",00:07:44
nnodmjh,72,student,"Sorry? Can you say that again, please?",00:07:47
nnodmjh,73,background,"Okay, so the Tutor puts 5 books on each table. We do not know how many tables are there, but we know each table has 5 books. Okay?",00:07:50
nnodmjh,74,student,"Okay. Is it, um...",00:08:01
nnodmjh,75,background,Carry on. You carry on.,00:08:04
nnodmjh,76,student,"Yes, so the remaining amount of books, let's say Like, for example, there are 4 books, then that will be the remaining amount of books. She will not put the number that's less than 5 on the table. Got it?",00:08:07
nnodmjh,77,student,Yeah.,00:08:22
nnodmjh,78,tutor,Okay. How can we work this question out?,00:08:23
nnodmjh,79,student,Do you do 27?,00:08:27
nnodmjh,80,tutor,Mm-hmm.,00:08:32
nnodmjh,81,student,Is it minus? [unclear],00:08:33
nnodmjh,82,tutor,"Okay, you could work it out that way as well.",00:08:36
nnodmjh,83,student,5... [unclear],00:08:41
nnodmjh,84,tutor,"Wait, it's 22, is it not? 22. If she puts only 5 books on one table, the remaining will be 22. So there are more books that she can put.",00:08:46
nnodmjh,85,student,"Oh, 5...",00:09:00
nnodmjh,86,tutor,"Alright, no worries. Take a look at the [unclear] and give this a try. Write the first 5 multiples of 6.",00:09:06
nnodmjh,87,tutor,"Amazing. There you go. Good job for listening. [unclear] Perfect. Okay, would you like to know the answer of the question? Because I know you're curious about that.",00:09:31
nnodmjh,88,student,Yeah.,00:09:40
nnodmjh,89,tutor,"Okay. So let's say this is table 1, she puts 5 books. All right?",00:09:40
nnodmjh,90,student,Okay.,00:09:47
nnodmjh,91,tutor,"And then on table 2, she puts 5 more, so that means a total of 10 books. Okay? And on table 3, she puts 5 more, that's a total of 15 books. 15 books.",00:09:47
nnodmjh,92,tutor,"Table 4, she puts 5 more. Total we have?",00:09:58
nnodmjh,93,student,20.,00:10:04
nnodmjh,94,tutor,Very good. And on table 5?,00:10:04
nnodmjh,95,student,25.,00:10:07
nnodmjh,96,tutor,"Yes, she can put 25 books. Hold on, that's not what they mean. She puts 25 books on the table. How many books are left over?",00:10:08
nnodmjh,97,background,"Um, oh, 3. [unclear] 2.",00:10:20
nnodmjh,98,tutor,2 books. That's right. 2 books are left over. Did you get the question now?,00:10:24
nnodmjh,99,student,Yeah.,00:10:29
nnodmjh,100,tutor,"Okay. Good job, anyone else? I appreciate all the efforts. You did well. Good job. Okay, let's make a little [UNCLEAR]. Let's translate. Can you read this, please?",00:10:30
nnodmjh,101,student,A remainder rate is when there is something left over in a division calculation.,00:10:42
nnodmjh,102,tutor,"Okay, I think we can agree there because we saw that on the first question. 527 is not in the 5 times table. That's why we had a remainder. Yeah?",00:10:51
nnodmjh,103,student,Yeah.,00:11:03
nnodmjh,104,tutor,"So just like that, a remainder arises when there's something left over in a division calculation. So let's take a look at this one now. Part A, what's the calculation we have?",00:11:03
nnodmjh,105,student,32 divided by 5.,00:11:16
nnodmjh,106,tutor,That's right. 32 is the number. We're dividing that by 5.,00:11:17
nnodmjh,107,tutor,"Well, we know for a fact that 32 is not in the 5 times table, so do we think there will be remainder? [unclear] [Speaker:Briony]...",00:11:23
nnodmjh,108,tutor,"Okay, yes, amazing, you got the answer, perfect. 6 remainder 2. We can see that on this picture above, right? We can see that 32 has been divided by 5, 10, and 2. [unclear]",00:11:34
nnodmjh,109,student,"If the divided is not a multiple of the divisor, there will be a remainder.",00:11:49
nnodmjh,110,tutor,"That's right. If the dividend is not a multiple of the divisor, then we have a remainder, which 2 is in this case. Alright, part B. Let's try this as well.",00:12:00
nnodmjh,111,student,13 divided by 4. [unclear],00:12:15
nnodmjh,112,tutor,All right.,00:12:22
nnodmjh,113,student,And then one.,00:12:30
nnodmjh,114,tutor,Okay. How many fours are in 13?,00:12:32
nnodmjh,115,student,Wait.,00:12:37
nnodmjh,116,tutor,You can't do it.,00:12:38
nnodmjh,117,tutor,"Cannot, but how many 4s, complete 4s are there in 13?",00:12:43
nnodmjh,118,student,Is it 4? [unclear],00:12:50
nnodmjh,119,tutor,"Okay. All right, we can check that. Okay, let me appreciate that. We can check the answer by timesing 4 by 4. How much do we get?",00:12:52
nnodmjh,120,student,12.,00:13:06
nnodmjh,121,tutor,12. [unclear],00:13:08
nnodmjh,122,tutor,Wait. Have you got it now?,00:13:15
nnodmjh,123,student,It's— I did 3 times 4.,00:13:21
nnodmjh,124,tutor,"Wait, so— yes, yes.",00:13:28
nnodmjh,125,student,I got 12.,00:13:31
nnodmjh,126,tutor,"[unclear] Wait, what is this?",00:13:33
nnodmjh,127,tutor,"How many 4s go into 13? Is it 5? You can check the 4 times table. This side needs more than simple and that's [UNCLEAR]. Very good. There you go. Oh, hi.",00:13:39
nnodmjh,128,tutor,So the number we have is 13. So can we take 15?,00:14:04
nnodmjh,129,student,No.,00:14:07
nnodmjh,130,tutor,No. So we're going to stop there. How many 4s are inside 13?,00:14:08
nnodmjh,131,student,3.,00:14:17
nnodmjh,132,tutor,3. Very good. And what's the remainder?,00:14:18
nnodmjh,133,student,1.,00:14:21
nnodmjh,134,tutor,1. Very good. That's how we get with the answer. Good job in listing the multiples of 4. For getting the remainder as well. Perfect. Okay? So you can use the same method to work all 3 out. Come on.,00:14:23
nnodmjh,135,student,"Wait, can I also do both [UNCLEAR]?",00:14:40
nnodmjh,136,tutor,Yeah.,00:14:42
nnodmjh,137,student,Like this.,00:14:43
nnodmjh,138,tutor,Okay.,00:14:48
nnodmjh,139,student,"And then you put 8. Oh wait, wait, wait, wait.",00:14:49
nnodmjh,140,tutor,Yes?,00:14:54
nnodmjh,141,tutor,"Okay, I'll ask you a question. I think this we can work it out without the method. How many tens are there inside 853? [unclear]",00:14:57
nnodmjh,142,student,8.,00:15:06
nnodmjh,143,tutor,"There you go, 8. Very good. 8. And what's the remainder?",00:15:07
nnodmjh,144,student,3. That's easy.,00:15:14
nnodmjh,145,tutor,"3, that's easy, yep. You can do it without the method. Good job, that was nice. Perfect. Okay, all right. So how was this live?",00:15:17
nnodmjh,146,student,It was okay.,00:15:31
nnodmjh,147,tutor,"Okay, how did we work? [unclear]",00:15:33
nnodmjh,148,student,We did the 4 times tables.,00:15:40
nnodmjh,149,tutor,Yes.,00:15:45
nnodmjh,150,student,"And we knew if we count up to 10, 3 times is 12, and yes, 13. So 12 take away 13 is 1, so you know you'll have a room. So 13 take away 12 is 1, and then you know you'll have a remainder of 1.",00:15:45
nnodmjh,151,tutor,"Amazing, great explanation. [unclear] Amazing. Alright, so with that, we can move on to the follow me, your own side. So I'll do the follow me, and I'll show you how to write these questions out. Once I am done, you can try your turn, okay?",00:16:02
nnodmjh,152,student,OK.,00:16:16
nnodmjh,153,tutor,"Alright. When solving word problems, we need to make sense of the remainder. It's very important. We need to pay attention to the remainder. Question 1: 4 children can fit in a tent. How many tents are needed for 30 children? OK, so that's a weird worded problem, so it's best that I highlight the keywords. 4 children can fit in a tent. How many tents are needed for 30?",00:16:17
nnodmjh,154,tutor,"Okay, so we can see they have a— like, we have visuals there. So we have 10 with 40, 4 children inside each tent.",00:16:47
nnodmjh,155,student,Wait.,00:16:56
nnodmjh,156,tutor,Yeah?,00:16:57
