session_id,utterance_id,role,content,timestamp
nnpfzjo,0,tutor,Hello.,00:00:00
nnpfzjo,1,background,[unclear],00:00:00
nnpfzjo,2,student,Hello.,00:00:00
nnpfzjo,3,tutor,"Hello, Lachlan. How are you?",00:00:02
nnpfzjo,4,student,Good.,00:00:05
nnpfzjo,5,tutor,"Good, okay. And how's been your day so far?",00:00:07
nnpfzjo,6,student,Good. What about yours?,00:00:11
nnpfzjo,7,tutor,"Yeah, mine too was good. I went shopping, so I really— [unclear]",00:00:14
nnpfzjo,8,student,Pardon?,00:00:20
nnpfzjo,9,tutor,Do you also like going shopping?,00:00:22
nnpfzjo,10,student,"Yeah, I like to zoom around on trolleys, but then my dad tells me off.",00:00:26
nnpfzjo,11,tutor,"Oh, okay, good. So what do you like—",00:00:32
nnpfzjo,12,student,I like to steal a trolley off my dad and then just zoom around the store until I get caught. [unclear],00:00:37
nnpfzjo,13,tutor,"It's okay. So, and what do you like buying the most? What do you end up buying the most?",00:00:45
nnpfzjo,14,student,Me?,00:00:57
nnpfzjo,15,tutor,"Yes, you.",00:00:58
nnpfzjo,16,student,Meats and vegetables.,00:01:01
nnpfzjo,17,tutor,"Okay, vegetables and meats. And what about the jewelries? Because today I went for shopping, I bought lots of jewelries.",00:01:05
nnpfzjo,18,tutor,I'm not the only person.,00:01:11
nnpfzjo,19,background,"Oh, okay. So are you a kind of buying clothes person?",00:01:14
nnpfzjo,20,tutor,No.,00:01:19
nnpfzjo,21,background,"Oh, okay. So you often buy the meats and the vegetables?",00:01:21
nnpfzjo,22,tutor,Yes.,00:01:26
nnpfzjo,23,background,"Okay, good then. Thank you so much for sharing the information with me. So Lachlan, the topic which we are going to do today is Comparing numbers with up to 2 decimal places using the money. [unclear]",00:01:28
nnpfzjo,24,tutor,"And yes, and this topic was basically started in our previous session, but we could not complete it. [unclear]",00:01:47
nnpfzjo,25,tutor,Okay.,00:01:57
nnpfzjo,26,student,Yes.,00:01:58
nnpfzjo,27,tutor,"So here we are going to just get started from our follow me. Slide. Okay, so yes, Lachlan, you have to listen to me carefully while I'm doing the explanation part. Okay?",00:01:59
nnpfzjo,28,student,Okay.,00:02:15
nnpfzjo,29,tutor,"So this is the place value chart given. Yes, we have been given two place value charts, right?",00:02:16
nnpfzjo,30,student,Yes.,00:02:22
nnpfzjo,31,tutor,"And here the question says that write the number as money values with— write it in the pounds, right? And here we have been given two monies, which is 3.5 and 3. 3.05. Okay, and we have to check which one is greater here. 3.5 is greater or 3.05 is greater? Using the symbols greater than, smaller than, or equal to.",00:02:24
nnpfzjo,32,tutor,[unclear],00:02:50
nnpfzjo,33,student,Right?,00:02:51
nnpfzjo,34,tutor,Yes.,00:02:52
nnpfzjo,35,student,"So this is a place value chart. Like before the decimal, we have ones. After the decimals, we start with the tens, and then we have the hundreds. Hundreds, right? This is similar to the normal place value chart we work with, right?",00:02:54
nnpfzjo,36,student,Yes.,00:03:09
nnpfzjo,37,tutor,"So here we have this place value chart which is like this. Here the amount which is given to us is 3.5. 3.5. So the number which is before our decimal, that is 3, here it will represent your ones. It will represent your ones. Okay? And the numbers which are after decimal, it will come in their tens or hundreds position respectively. Okay?",00:03:10
nnpfzjo,38,student,Yeah. [unclear],00:03:39
nnpfzjo,39,tutor,"Yes. So here we have 3 pounds, right? As you can see, how many pounds do we have here? We have 3 pounds, right? Because we have how many coins of 3 pounds? 1, 2, and 3, which will result to 3 pounds, right? What happened? [unclear] So here we are going to write 3. Okay, let's come to the tens now. So how many 10p? Here in the tens column, we basically write the amount which comes in the tens, which comes in the tens.",00:03:42
nnpfzjo,40,tutor,10.,00:04:23
nnpfzjo,41,student,10. How many tens? How many ones do we have? [unclear],00:04:24
