session_id,utterance_id,role,content,timestamp
nqyufmf,0,background,[unclear],00:00:00
nqyufmf,1,student,[unclear],00:00:00
nqyufmf,2,tutor,"Hello, hello, hi Kellan.",00:00:00
nqyufmf,3,tutor,Hi.,00:00:28
nqyufmf,4,student,How are you?,00:00:29
nqyufmf,5,tutor,Good.,00:00:29
nqyufmf,6,student,Mm-hmm. How was school today?,00:00:29
nqyufmf,7,tutor,Good.,00:00:36
nqyufmf,8,student,Did you do any math lesson today at school?,00:00:36
nqyufmf,9,tutor,"Yeah, I did do math.",00:00:39
nqyufmf,10,student,"What was it about? Can you remember? [unclear] Can you remember what was it about, math lesson? [unclear]",00:00:42
nqyufmf,11,tutor,"car number. Okay. All right. All right. So Kellan, you were doing ordering numbers up to 1,000. Can you remember about this lesson?",00:00:42
nqyufmf,12,student,No.,00:01:07
nqyufmf,13,tutor,Is there anything that you can remember about ordering numbers?,00:01:09
nqyufmf,14,student,So I do remember,00:01:13
nqyufmf,15,student,"When you, when you had to do hundreds, tens, and ones.",00:01:17
nqyufmf,16,tutor,"Mm-hmm. Okay, that's—",00:01:24
nqyufmf,17,student,"And then, uh, should we, um, and maybe when—",00:01:26
nqyufmf,18,tutor,"Yeah, as you told, we can add the hundreds, tens, and ones and get what is the number shown. So in ordering How do we order numbers?",00:01:38
nqyufmf,19,student,"So is it the— when all the numbers were smallest, largest? So first it's large, so 10.",00:01:49
nqyufmf,20,tutor,"Okay, when you're ordering from smallest to largest— [unclear] smallest. What is— now imagine you have hundreds, tens, and ones. What is the one you're taking first?",00:02:01
nqyufmf,21,student,"7, 8?",00:02:01
nqyufmf,22,tutor,"No, no, don't do it, Kellan. You have already done this, okay? I'm just asking, when there are hundreds, tens, and ones, what is the place value you are going to check to order numbers?",00:02:15
nqyufmf,23,student,[unclear] smallest to largest?,00:02:15
nqyufmf,24,tutor,"Don't do it, Kellan. You have already done this question, okay? Just answer my question. When we order numbers, what is the place value we are going to check first?",00:02:32
nqyufmf,25,student,"Hundreds, tens, ones.",00:02:42
nqyufmf,26,tutor,Very good. Starting with the highest place value column. Okay?,00:02:44
nqyufmf,27,background,The highest. [unclear],00:02:49
nqyufmf,28,tutor,"No, no. We— when we order, we check the highest place value column and compare like that.",00:02:52
nqyufmf,29,tutor,Then we need to do the next one.,00:03:02
nqyufmf,30,student,"Oh, I know. So we have to compare. [unclear] Go on that question. So you maybe have to judge by the missing line. Because if it's really large, then you have to try and put it large.",00:03:05
nqyufmf,31,tutor,"Okay, we'll come to the page where you have stuff. Can you read the question? Can you read the question?",00:03:29
nqyufmf,32,student,Yeah.,00:03:41
nqyufmf,33,tutor,"Can you read the question? Read aloud, Kellan. [unclear]...digits. [unclear]",00:03:43
nqyufmf,34,tutor,Read it.,00:04:04
nqyufmf,35,student,"What, this?",00:04:07
nqyufmf,36,tutor,The question.,00:04:09
nqyufmf,37,student,"Write numbers in digits so that the numbers are in order from smallest to largest. Okay, how are you going to order this? That's pretty hard. Okay, how are you going to order this? Is it smallest to largest or largest to smallest? [unclear]",00:04:10
nqyufmf,38,student,So where do you— I forgot how to write. How do you write?,00:04:32
nqyufmf,39,tutor,"Kellan, can you answer my question? How are we going to order this? In smallest to largest or largest to smallest?",00:04:38
nqyufmf,40,student,Maybe it has to do— maybe—,00:04:45
nqyufmf,41,student,"So maybe you have to do the smallest numbers, then the largest, because if it said smallest to largest, that's maybe all you have to do, like 146, 200, 300, like that.",00:04:49
nqyufmf,42,tutor,"Okay, let me complete it.",00:05:05
nqyufmf,43,student,Maybe this one can be [UNCLEAR].,00:05:09
nqyufmf,44,tutor,Okay.,00:05:17
nqyufmf,45,student,"And then maybe 200s? One's gonna be 3K. Oh, 400s?",00:05:18
nqyufmf,46,tutor,Is it hundreds in the middle?,00:05:28
nqyufmf,47,student,Yeah.,00:05:31
nqyufmf,48,tutor,"No, not hundreds. What is this? Hundreds?",00:05:33
nqyufmf,49,student,"Oh, my bad. Maybe— how do I get rid of— Could you rub that one out? I made a mistake.",00:05:36
nqyufmf,50,tutor,Okay.,00:05:44
nqyufmf,51,student,"So maybe you have to do this one with a zero. 3— no, that won't work. So maybe it could be 332. [unclear] Then this one could be 600—",00:05:45
nqyufmf,52,student,666. This one's going to be so hard. 905. [unclear],00:06:11
nqyufmf,53,tutor,"Yeah, can you put a number to this? Put a digit to this.",00:06:28
nqyufmf,54,student,[unclear],00:06:40
nqyufmf,55,tutor,"Okay, so when you're comparing, okay, can you explain me how you wrote these answers, why you wrote these answers?",00:06:40
nqyufmf,56,student,"146 smallest, 232 small, 332 big, 666 big.",00:06:47
nqyufmf,57,student,big. [unclear],00:06:47
nqyufmf,58,tutor,"Very good. So what is the place value that decided, that made it, decided that when you were arranging the numbers? What's the place value you check? Ones, tens, or hundreds when you're ordering?",00:07:00
nqyufmf,59,student,"Maybe, maybe it's one. What is the place value you were checking when you were ordering? Did you keep on checking the unit, one, or tens, or the hundreds to order them?",00:07:19
nqyufmf,60,student,I don't know.,00:07:34
nqyufmf,61,tutor,"Here, what is the number you wrote? Is it hundreds, ones, or tens?",00:07:36
nqyufmf,62,student,One hundred.,00:07:42
nqyufmf,63,tutor,"Hundred. So hundreds here? Hundreds. Okay, so here—",00:07:44
nqyufmf,64,student,"10s, 100s, 10s, 1s.",00:07:50
nqyufmf,65,tutor,"Yes, and also here the numbers are arranged in a way that always the hundreds have the highest [UNCLEAR]. So if you have arranged the hundreds from the largest to the smallest, then automatically the numbers are going to be ordered from smallest to largest, okay?",00:07:55
nqyufmf,66,tutor,Should we move on?,00:08:15
nqyufmf,67,background,"Okay, well done, Kellan. Then...",00:08:16
nqyufmf,68,tutor,"Can I do something for you quick on this one? Look, I'm gonna do this. [unclear] Done.",00:08:19
nqyufmf,69,background,"Okay, okay, since that's the end of that lesson, can you tell me when we ordered the books?",00:08:36
nqyufmf,70,tutor,"When you order numbers, can you tell me the steps of ordering the numbers? Ordering numbers up to 1000?",00:08:42
nqyufmf,71,background,[unclear],00:08:42
nqyufmf,72,tutor,"Kellan, can you tell me the steps of ordering the numbers?",00:08:56
nqyufmf,73,background,"So, 9 stays, this will pay...",00:09:00
nqyufmf,74,tutor,"Kellan, no need to do this. No need to do this. I'm just asking, can you give me a summary area of the lesson. How do we order numbers?",00:09:07
nqyufmf,75,student,"Maybe because if you order numbers, it'll be 500 plus 500 equals 1,000.",00:09:18
nqyufmf,76,tutor,I didn't ask you to add. I'm asking ordering numbers. How do we do this? How do we order numbers? Can you tell me the steps?,00:09:27
nqyufmf,77,student,"So we need to do large to small maybe, or small to large.",00:09:35
nqyufmf,78,tutor,"Okay, yes, for that we check the highest value column first and then we can order. Yeah, then we'll move on to the next lesson, which is using place values to multiply and divide by 10. So do you know how— do you know any method to multiply or divide by 10? Have you looked?",00:09:41
nqyufmf,79,student,"I don't know. I'm sorry, I don't know. [unclear]",00:10:02
nqyufmf,80,tutor,"Sorry, can you repeat it?",00:10:11
nqyufmf,81,student,I don't know how to divide.,00:10:13
nqyufmf,82,tutor,"Okay, we'll learn that. Do you know when we multiply a number, what happens to that number? Does it get bigger or smaller?",00:10:16
nqyufmf,83,student,"[unclear] Kellan, can you come closer to your mic and speak? I cannot hear you much. Can you come closer to your mic? Okay. Kellan, can you try refreshing? [unclear] Can you try refreshing? [unclear]",00:10:25
nqyufmf,84,tutor,What does that mean?,00:10:57
nqyufmf,85,background,Can you refresh the slide? Can you refresh?,00:11:01
nqyufmf,86,tutor,"Oh, okay. So I refreshed from this, so you have to— so this you have to do one homegirl to turn them on. So this will be—",00:11:07
nqyufmf,87,student,"300, so 3 in there, 4 in the tent.",00:11:23
nqyufmf,88,tutor,"You can write and do it. Kellan, you can write, use the place value chart and do it.",00:11:26
nqyufmf,89,background,Yes.,00:11:32
nqyufmf,90,tutor,Where do you go for that? [unclear],00:11:34
nqyufmf,91,background,Can you write it on the [unclear] chart? [unclear],00:11:39
nqyufmf,92,student,Dividing.,00:12:02
nqyufmf,93,tutor,Divided by.,00:12:09
nqyufmf,94,student,[unclear],00:12:10
nqyufmf,95,tutor,Cut?,00:12:19
nqyufmf,96,student,"Yeah, divide by 10. [unclear]",00:12:20
nqyufmf,97,tutor,"Hey, get off. There we go.",00:12:25
nqyufmf,98,background,Okay.,00:12:31
nqyufmf,99,student,"So, 0 minus 0 would be maybe 0.",00:12:32
nqyufmf,100,student,4 minus 1 would be 3. And 0 take away 3 equals [UNCLEAR].,00:12:41
nqyufmf,101,tutor,"Okay, that's subtraction. Okay, since we have to do division here, in the next slides we'll learn how to do that. Okay, uh, this division. Okay, do you know this thing? Do you know this symbol?",00:12:50
nqyufmf,102,student,Is it divided by?,00:13:08
nqyufmf,103,tutor,"Yeah, that's division. So have you done any division at school? Do you know how to divide?",00:13:11
