session_id,utterance_id,role,content,timestamp
nwbwwxi,0,tutor,Hello?,00:00:00
nwbwwxi,1,background,[unclear],00:00:00
nwbwwxi,2,background,"Hello? Hi Linus, can you hear me?",00:00:01
nwbwwxi,3,student,Yeah.,00:00:04
nwbwwxi,4,background,"Okay, great. So how are you today?",00:00:05
nwbwwxi,5,tutor,Hello?,00:00:09
nwbwwxi,6,background,"Yes, can you hear me?",00:00:11
nwbwwxi,7,tutor,"Yes, I can hear you.",00:00:13
nwbwwxi,8,tutor,"All right, great. So how are you today?",00:00:14
nwbwwxi,9,student,"I'm okay, thanks.",00:00:17
nwbwwxi,10,tutor,"All right, welcome. And how did you spend your holidays, Linus? [unclear]",00:00:18
nwbwwxi,11,student,Good.,00:00:26
nwbwwxi,12,tutor,Good. Did you do anything interesting?,00:00:27
nwbwwxi,13,student,We did Christmas. I got lots of presents.,00:00:31
nwbwwxi,14,tutor,Okay.,00:00:36
nwbwwxi,15,student,That was technically it. [unclear],00:00:37
nwbwwxi,16,tutor,"Alright, that sounds really interesting to hear. So yes, are we ready to start our first session of [unclear] for the year?",00:00:42
nwbwwxi,17,student,Yeah.,00:00:51
nwbwwxi,18,tutor,"Okay, so it's solving problems involving fractions. We actually started this in our last session as well. Do you remember?",00:00:51
nwbwwxi,19,student,Huh?,00:01:02
nwbwwxi,20,tutor,Do you remember we started this lesson in our previous session?,00:01:03
nwbwwxi,21,tutor,"Okay, yeah, all right. So it's been some time. It's fine if you do not remember. And can you tell me what do you know about fractions, please?",00:01:09
nwbwwxi,22,student,"Well, there's a denominator and a numerator.",00:01:18
nwbwwxi,23,tutor,"Yes, well done. Denominator, numerator. So, you know, how we can solve problems using fractions? Any idea?",00:01:22
nwbwwxi,24,tutor,How can we solve problems using fractions? [unclear],00:01:33
nwbwwxi,25,student,Problems using fractions?,00:01:43
nwbwwxi,26,tutor,How can we solve problems using fractions?,00:01:47
nwbwwxi,27,student,"Can't you like do, like, you can get two fractions",00:01:52
nwbwwxi,28,student,Then can't you like times them?,00:01:59
nwbwwxi,29,tutor,Okay.,00:02:04
nwbwwxi,30,student,"And find a— find an equal common multiple, then times however you— how many you got to that to the numerator and solve it.",00:02:06
nwbwwxi,31,tutor,"Okay, all right, that's a way of trying to solve",00:02:23
nwbwwxi,32,tutor,Yes. So good job in trying to explain that. Awesome effort put in. So we are going to look at more like real-life problems and related to fractions to solve. Okay?,00:02:27
nwbwwxi,33,student,Okay.,00:02:42
nwbwwxi,34,background,"Okay. So we have to continue from where we stopped last time, which is this slide. We completed question A and B, so we will continue from C to D.",00:02:43
nwbwwxi,35,tutor,Let me see here.,00:02:55
nwbwwxi,36,student,2/3 of 360.,00:02:57
nwbwwxi,37,tutor,Yes. So how do you think you will solve this?,00:03:02
nwbwwxi,38,student,"Uh, I don't know.",00:03:07
nwbwwxi,39,tutor,"Okay, let's give it a try together. Uh, so, uh, can you tell me what is the fraction in this, uh, question over here?",00:03:11
nwbwwxi,40,student,2/3.,00:03:20
nwbwwxi,41,tutor,"2/3, yes. And of how much are we going to be finding 2/3 of?",00:03:21
nwbwwxi,42,student,[unclear],00:03:30
nwbwwxi,43,tutor,"360, yes. So what we can say over here is 360 whole, okay? Whole meaning this entire diagram is going to be 360. Okay, so how many parts do we have in total in this fraction? How do you decide that, with the numerator or denominator?",00:03:30
nwbwwxi,44,student,We got one-third.,00:03:55
nwbwwxi,45,tutor,"Okay, is it just one-third? What shows us the number of parts, the denominator or the numerator? [unclear] Not really, it's the denominator that shows us the whole whole number of parts in the entire diagram. Okay?",00:04:00
nwbwwxi,46,student,Okay.,00:04:17
nwbwwxi,47,tutor,How many parts do we have as the denominator?,00:04:18
nwbwwxi,48,student,"Uh, [UNCLEAR]. [Speaker:Tutor] 3, exactly. So this means for this whole 360, this 360 is equal to 3 whole parts. That's how you relate the whole and the denominator. [unclear]",00:04:24
nwbwwxi,49,tutor,"Yes, so the whole, which is 360, same as denominator, which is 3 equal parts. Okay?",00:04:44
nwbwwxi,50,student,Okay.,00:04:55
nwbwwxi,51,tutor,So 360 is for all 3 parts of the entire diagram. Is that clear?,00:04:55
nwbwwxi,52,student,"Yeah. Okay, so having that in mind, we know 3 parts is 360. Now we are going to be finding 2/3 of 360. So 3/3 is 360. We're going to be finding out how much is 2/3. All right?",00:05:04
nwbwwxi,53,student,[unclear],00:05:25
nwbwwxi,54,tutor,"Always remember the denominator is the number of total parts, which is the same. Same as this whole number. So 3/3 is 215. Now we're going to be finding out how much is 2/3. To do that, what we can say is, um, what we can do is we will find out what is 1/3 first. [unclear]",00:05:26
nwbwwxi,55,tutor,Okay. What is 1/3 first? That will help us easily find out what is 2/3.,00:05:50
nwbwwxi,56,tutor,Okay. So any idea how we can find how much one-third of 300?,00:05:58
nwbwwxi,57,student,[unclear] One-third.,00:06:03
nwbwwxi,58,tutor,"Yes, one-third.",00:06:11
nwbwwxi,59,student,You have to like take the zero off. So it's 33.,00:06:14
nwbwwxi,60,student,[unclear],00:06:29
nwbwwxi,61,tutor,"Okay, so rather than going to the zero first, what should we do with the 300 to find out the 1/3?",00:06:29
nwbwwxi,62,student,Divide it.,00:06:38
nwbwwxi,63,tutor,Divide it by?,00:06:40
nwbwwxi,64,student,Divide it by 2.,00:06:42
nwbwwxi,65,tutor,"Okay, nice try. Awesome effort put in. You're almost there, but it's actually",00:06:45
nwbwwxi,66,tutor,Divide 360 by the total number of parts. That would give us how much one part is. Okay?,00:06:50
nwbwwxi,67,student,Mm-hmm.,00:07:00
nwbwwxi,68,tutor,So the whole number divided by the denominator would give us how much one part is. Is that [UNCLEAR]? So what is 360 divided by 3? Try that. [Speaker:Background] Uh...,00:07:01
nwbwwxi,69,student,Can I do it in my math book?,00:07:16
nwbwwxi,70,tutor,"Okay, sure. Go ahead.",00:07:20
nwbwwxi,71,student,120.,00:07:57
nwbwwxi,72,tutor,"120. Can you tell me how you divided it, please?",00:07:58
nwbwwxi,73,student,I used the bus stop method.,00:08:03
nwbwwxi,74,tutor,"Bus stop method. Okay, great. So yes, it's 120. And good working out there. So now can you tell me how much is 1/3 going to be?",00:08:05
nwbwwxi,75,student,1/3 is going to be— that's going to be— 1/3. That's going to be 220.,00:08:17
nwbwwxi,76,tutor,Is it 220? [unclear] 120. Exactly. So can you type in that in the box over here? What is one-third?,00:08:31
nwbwwxi,77,student,[unclear],00:08:54
nwbwwxi,78,tutor,Yes. And one-third also would be?,00:08:54
nwbwwxi,79,student,[unclear],00:08:57
nwbwwxi,80,tutor,"Yes, 120. [unclear]",00:08:59
nwbwwxi,81,tutor,Okay. And this would be?,00:09:09
nwbwwxi,82,student,120.,00:09:11
nwbwwxi,83,tutor,120. Good job. So how did we get this 120? What did we have to do with the question?,00:09:12
nwbwwxi,84,student,We have to divide 360 by 3.,00:09:19
nwbwwxi,85,tutor,"Yes, 360 by 3. So 360 is the whole number.",00:09:24
nwbwwxi,86,tutor,"Yes. You divide the whole number by the number of equal parts of the whole diagram, which is the denominator. That gives you just one part. [unclear] That's just one part. But what is the question asking us? How many parts is the question giving us?",00:09:29
nwbwwxi,87,student,Two.,00:09:51
nwbwwxi,88,tutor,"Two parts. So then what do you think? If one part is 120,",00:09:52
nwbwwxi,89,student,[unclear],00:09:56
nwbwwxi,90,tutor,2 parts is 240.,00:09:56
nwbwwxi,91,student,"Mm-hmm, yes. How did you get that?",00:10:04
nwbwwxi,92,tutor,"Because I added 100, then I added 20.",00:10:06
nwbwwxi,93,student,You added 100 and—,00:10:12
nwbwwxi,94,tutor,"I mean, I added 100 and 100, then I added 2 20s. Yes, well done, exactly. So you can be doing addition or you could also do multiplication there. How would you do multiplication there? [unclear]",00:10:14
nwbwwxi,95,tutor,"Yes, how would you do multiplication?",00:10:36
nwbwwxi,96,background,"Amazon voucher, country price for assembly, yeah.",00:10:39
nwbwwxi,97,student,"Yeah, we'll just give it to them.",00:10:42
nwbwwxi,98,tutor,You knew that we can add these two together. And how would you connect that to multiplication if I ask you? [unclear],00:10:44
nwbwwxi,99,student,Multiplication. Is it multiplication times?,00:10:54
nwbwwxi,100,tutor,"Yes, multiplication is times.",00:11:01
nwbwwxi,101,student,So the actor times 40 by 40.,00:11:07
nwbwwxi,102,student,"Uh, why 40? [unclear]",00:11:16
